img_id,data_point
212,1691583347206
257,1691583346319
113,1691583345294
156,1691583345790
587,1691583348558
41,1691583341799
467,1691583340838
422,1691583347800
377,1691583347966
332,1691583346975
297,1691583341101
39,1691583341335
81,1691583341335
502,1691583341694
196,1691583343447
547,1691583339190
483,1691583338991
353,1691583340015
316,1691583339847
526,1691583345855
563,1691583348991
58,1691583348199
20,1691583339318
65,1691583339582
137,1691583348927
172,1691583344134
98,1691583348263
236,1691583343046
273,1691583340311
443,1691583344630
406,1691583344070
393,1691583343806
234,1691583340575
271,1691583339814
519,1691583342326
135,1691583345790
170,1691583347143
22,1691583339551
67,1691583348096
391,1691583347470
329,1691583346351
441,1691583344070
404,1691583341271
351,1691583340246
314,1691583339751
439,1691583346943
481,1691583348495
108,1691583342718
209,1691583340967
524,1691583348959
561,1691583345688
388,1691583347374
458,1691583347342
375,1691583344271
330,1691583346614
500,1691583341432
194,1691583342983
545,1691583342391
83,1691583341990
268,1691583347470
295,1691583341038
169,1691583341038
43,1691583342255
111,1691583348663
154,1691583348927
585,1691583339054
578,1691583342519
210,1691583341198
255,1691583347007
465,1691583347143
420,1691583340047
348,1691583343543
498,1691583341631
291,1691583347271
128,1691583341959
504,1691583344798
190,1691583340575
541,1691583348790
87,1691583341495
229,1691583339646
419,1691583339982
371,1691583346614
334,1691583341101
461,1691583344039
424,1691583347342
309,1691583343151
539,1691583345159
214,1691583344335
251,1691583340806
47,1691583341599
115,1691583344830
150,1691583348199
581,1691583339159
368,1691583341135
445,1691583343383
400,1691583340638
395,1691583344239
131,1691583344862
174,1691583346511
288,1691583346550
26,1691583348166
63,1691583339383
230,1691583339646
275,1691583339718
558,1691583345919
189,1691583339687
248,1691583347078
520,1691583348430
565,1691583342287
8,1691583346151
598,1691583341726
149,1691583348462
485,1691583339223
355,1691583347534
310,1691583347903
478,1691583348399
19,1691583339118
522,1691583342551
567,1691583341726
357,1691583343342
312,1691583340408
487,1691583342590
397,1691583346710
447,1691583347606
402,1691583340703
232,1691583340143
277,1691583340439
24,1691583339118
61,1691583348096
133,1691583345982
176,1691583344335
463,1691583346911
426,1691583343543
117,1691583346023
152,1691583342750
583,1691583339615
45,1691583342222
216,1691583346478
253,1691583341167
85,1691583342159
506,1691583344967
192,1691583347830
543,1691583348590
293,1691583340935
78,1691583345591
373,1691583346743
336,1691583340902
109,1691583342814
208,1691583340774
560,1691583345031
525,1691583345230
315,1691583339847
350,1691583340015
438,1691583347110
480,1691583342590
390,1691583343574
328,1691583344399
405,1691583346648
440,1691583344175
270,1691583340408
235,1691583347734
518,1691583339254
171,1691583347039
134,1691583344767
66,1691583342654
23,1691583339318
421,1691583340143
464,1691583344134
349,1691583340439
499,1691583341862
42,1691583342023
155,1691583348694
584,1691583339159
110,1691583348263
579,1691583348096
254,1691583340967
211,1691583347110
195,1691583347734
544,1691583348359
501,1691583342127
82,1691583342222
269,1691583340511
294,1691583341135
168,1691583341271
389,1691583343342
459,1691583343383
331,1691583344503
374,1691583346815
296,1691583341167
38,1691583345559
80,1691583341567
197,1691583343943
546,1691583342951
503,1691583341927
333,1691583347206
376,1691583343774
423,1691583343447
466,1691583340743
256,1691583347239
213,1691583346943
157,1691583345982
586,1691583348134
112,1691583348886
40,1691583341567
407,1691583344175
442,1691583346710
392,1691583347966
64,1691583339351
21,1691583339551
173,1691583344566
136,1691583348694
99,1691583347998
272,1691583339718
237,1691583343247
562,1691583341830
527,1691583345758
59,1691583342886
482,1691583339455
317,1691583339751
352,1691583340278
276,1691583339814
233,1691583340342
60,1691583342654
25,1691583342919
177,1691583343678
132,1691583346213
396,1691583344007
403,1691583340806
446,1691583343511
313,1691583340511
356,1691583343574
486,1691583339455
18,1691583348134
566,1691583341830
523,1691583342814
337,1691583340671
372,1691583344039
84,1691583342063
193,1691583343214
542,1691583342487
507,1691583345230
292,1691583347039
79,1691583345358
153,1691583347998
582,1691583339615
116,1691583344735
44,1691583341990
252,1691583341071
217,1691583344566
427,1691583343943
462,1691583346678
538,1691583345919
250,1691583341006
215,1691583346383
46,1691583341366
151,1691583342854
580,1691583339054
114,1691583346247
425,1691583347566
460,1691583344599
308,1691583343046
418,1691583339951
335,1691583341198
370,1691583340902
290,1691583344399
129,1691583345494
191,1691583340342
540,1691583344967
505,1691583345758
86,1691583341398
228,1691583339879
484,1691583339223
311,1691583343607
354,1691583340439
479,1691583342358
249,1691583341231
564,1691583341759
521,1691583348527
9,1691583344927
599,1691583341830
148,1691583339383
175,1691583346447
130,1691583345391
289,1691583346319
62,1691583339582
27,1691583348063
274,1691583340278
231,1691583339879
559,1691583345159
188,1691583339911
369,1691583340671
401,1691583341101
444,1691583347374
394,1691583346815
285,1691583343838
179,1691583343479
510,1691583342784
184,1691583340311
555,1691583348590
278,1691583340542
93,1691583344798
448,1691583343311
365,1691583347271
320,1691583343607
398,1691583346614
488,1691583348462
475,1691583345031
430,1691583346911
358,1691583347439
568,1691583341599
200,1691583344302
245,1691583346383
16,1691583342687
53,1691583344894
101,1691583342623
144,1691583339486
595,1691583345887
5,1691583345559
339,1691583344440
451,1691583340214
414,1691583347303
381,1691583343342
125,1691583342095
160,1691583346213
32,1691583344703
77,1691583345127
224,1691583343015
261,1691583346775
509,1691583348959
219,1691583343678
534,1691583341759
571,1691583345887
118,1691583345527
491,1691583348295
341,1691583346847
304,1691583344271
429,1691583344207
48,1691583345358
536,1691583345062
573,1691583345094
343,1691583343975
306,1691583343871
493,1691583345719
383,1691583340246
453,1691583340079
416,1691583340143
226,1691583340375
263,1691583343711
88,1691583345422
30,1691583348855
75,1691583346086
127,1691583341398
162,1691583345494
477,1691583348295
432,1691583344103
103,1691583339422
146,1691583339286
597,1691583341631
7,1691583345950
14,1691583348623
51,1691583346086
202,1691583346511
247,1691583347175
91,1691583346023
512,1691583342551
186,1691583339687
557,1691583344927
29,1691583348623
287,1691583344503
367,1691583340935
322,1691583347935
206,1691583341006
243,1691583344599
107,1691583348030
142,1691583348462
593,1691583345094
3,1691583341534
10,1691583344662
55,1691583348823
473,1691583345822
436,1691583340871
363,1691583346847
326,1691583343742
68,1691583348166
283,1691583343183
95,1691583348886
516,1691583339023
182,1691583347870
553,1691583342391
497,1691583345455
347,1691583347503
302,1691583344367
532,1691583342127
577,1691583348558
34,1691583346151
71,1691583348726
123,1691583342063
166,1691583342095
222,1691583347830
267,1691583347670
457,1691583347566
412,1691583343511
387,1691583339783
220,1691583347606
265,1691583343183
548,1691583339087
199,1691583346414
121,1691583341432
164,1691583341366
36,1691583345950
73,1691583344894
298,1691583347239
385,1691583339982
378,1691583343607
455,1691583343278
410,1691583343975
345,1691583343311
300,1691583346582
468,1691583341464
495,1691583345262
588,1691583342519
159,1691583344862
258,1691583344440
530,1691583341927
575,1691583342423
409,1691583346447
361,1691583344007
324,1691583343078
514,1691583348430
180,1691583342983
551,1691583342951
239,1691583347638
97,1691583342814
281,1691583347638
138,1691583342750
12,1691583348758
57,1691583342456
105,1691583339519
140,1691583348230
591,1691583346119
1,1691583342023
529,1691583344798
204,1691583347078
241,1691583343871
471,1691583345455
434,1691583340838
319,1691583340375
262,1691583343806
227,1691583340110
89,1691583345527
74,1691583346182
31,1691583348758
163,1691583341959
126,1691583341495
382,1691583339783
417,1691583340047
452,1691583340175
307,1691583347670
342,1691583346743
492,1691583345031
49,1691583345591
572,1691583345654
537,1691583345688
323,1691583347703
366,1691583340703
90,1691583344703
187,1691583339911
556,1691583348790
513,1691583342326
28,1691583342687
286,1691583346775
147,1691583339486
596,1691583345622
102,1691583339519
6,1691583345326
50,1691583345127
15,1691583348063
246,1691583346975
203,1691583344103
433,1691583341303
476,1691583345719
569,1691583345622
244,1691583344367
201,1691583344535
52,1691583344662
17,1691583342919
145,1691583339286
594,1691583345190
100,1691583342718
4,1691583341303
489,1691583348359
431,1691583346678
474,1691583345262
359,1691583343118
449,1691583340607
321,1691583343151
364,1691583344470
399,1691583340871
284,1691583343742
178,1691583343910
185,1691583340542
554,1691583342487
511,1691583348527
279,1691583347439
92,1691583346247
490,1691583342358
305,1691583343774
340,1691583344207
428,1691583346478
218,1691583343910
570,1691583345190
535,1691583341862
119,1691583345422
161,1691583345391
124,1691583342191
76,1691583344630
33,1691583346055
260,1691583346550
225,1691583340607
508,1691583345855
338,1691583347303
415,1691583347766
450,1691583340110
380,1691583347407
589,1691583342423
158,1691583344735
259,1691583344535
574,1691583346119
531,1691583341694
301,1691583344470
344,1691583343118
469,1691583341896
494,1691583345822
384,1691583339982
379,1691583347503
411,1691583347534
454,1691583340638
264,1691583347903
221,1691583343247
549,1691583339087
198,1691583343711
165,1691583341464
120,1691583341534
72,1691583348823
37,1691583345326
299,1691583347007
435,1691583340743
470,1691583341663
318,1691583340479
56,1691583348726
13,1691583348855
141,1691583342854
590,1691583348327
104,1691583339422
0,1691583342255
528,1691583344999
240,1691583343646
205,1691583347175
181,1691583347766
550,1691583339190
515,1691583339254
238,1691583347830
96,1691583348663
280,1691583343078
139,1691583347998
408,1691583346879
325,1691583343838
360,1691583346775
69,1691583342886
282,1691583347870
94,1691583345294
183,1691583343214
552,1691583348359
517,1691583339023
327,1691583344302
362,1691583344239
437,1691583340774
472,1691583346287
242,1691583346511
207,1691583341231
143,1691583339383
592,1691583345654
106,1691583342623
2,1691583341759
54,1691583346182
11,1691583346055
413,1691583343414
456,1691583343479
386,1691583340214
70,1691583342456
35,1691583344927
167,1691583342191
122,1691583342159
266,1691583343078
223,1691583347703
576,1691583348327
533,1691583342287
496,1691583346287
303,1691583346351
346,1691583347407
